symbol,year,month,day,price
BTC,2018,4,1,6844.23
BTC,2018,4,2,7083.80
BTC,2018,4,3,7456.11
BTC,2018,4,4,6853.84
BTC,2018,4,5,6811.47
BTC,2018,4,6,6636.32
BTC,2018,4,7,6911.09
BTC,2018,4,8,7023.52
BTC,2018,4,9,6770.73
BTC,2018,4,10,6834.76
BTC,2018,4,11,6968.32
BTC,2018,4,12,7889.25
BTC,2018,4,13,7895.96
BTC,2018,4,14,7986.24
BTC,2018,4,15,8329.11
BTC,2018,4,16,8058.67
BTC,2018,4,17,7902.09
BTC,2018,4,18,8163.42
BTC,2018,4,19,8294.31
BTC,2018,4,20,8845.83
BTC,2018,4,21,8895.58
BTC,2018,4,22,8802.46
BTC,2018,4,23,8930.88
BTC,2018,4,24,9697.50
BTC,2018,4,25,8845.74
BTC,2018,4,26,9281.51
BTC,2018,4,27,8987.05
BTC,2018,4,28,9348.48
BTC,2018,4,29,9419.08
BTC,2018,4,30,9240.55
BTC,2018,5,1,9119.01
BTC,2018,5,2,9235.92
BTC,2018,5,3,9743.86
BTC,2018,5,4,9700.76
BTC,2018,5,5,9858.15
BTC,2018,5,6,9654.80
BTC,2018,5,7,9373.01
BTC,2018,5,8,9234.82
BTC,2018,5,9,9325.18
BTC,2018,5,10,9043.94
BTC,2018,5,11,8441.49
BTC,2018,5,12,8504.89
BTC,2018,5,13,8723.94
BTC,2018,5,14,8716.79
BTC,2018,5,15,8510.38
BTC,2018,5,16,8368.83
BTC,2018,5,17,8094.32
BTC,2018,5,18,8250.97
BTC,2018,5,19,8247.18
BTC,2018,5,20,8513.25
BTC,2018,5,21,8418.99
BTC,2018,5,22,8041.78
BTC,2018,5,23,7557.82
BTC,2018,5,24,7587.34
BTC,2018,5,25,7480.14
BTC,2018,5,26,7355.88
BTC,2018,5,27,7368.22
BTC,2018,5,28,7135.99
BTC,2018,5,29,7472.59
BTC,2018,5,30,7406.52
BTC,2018,5,31,7494.17
BTC,2018,6,1,7541.45
BTC,2018,6,2,7643.45
BTC,2018,6,3,7720.25
BTC,2018,6,4,7514.47
BTC,2018,6,5,7633.76
BTC,2018,6,6,7653.98
BTC,2018,6,7,7678.24
BTC,2018,6,8,7624.92
BTC,2018,6,9,7531.98
BTC,2018,6,10,6786.02
BTC,2018,6,11,6906.92
BTC,2018,6,12,6582.36
BTC,2018,6,13,6349.90
BTC,2018,6,14,6675.35
BTC,2018,6,15,6456.58
BTC,2018,6,16,6550.16
BTC,2018,6,17,6499.27
BTC,2018,6,18,6734.82
BTC,2018,6,19,6769.94
BTC,2018,6,20,6776.55
BTC,2018,6,21,6729.74
BTC,2018,6,22,6083.69
BTC,2018,6,23,6162.48
BTC,2018,6,24,6173.23
BTC,2018,6,25,6249.18
BTC,2018,6,26,6093.67
BTC,2018,6,27,6157.13
BTC,2018,6,28,5903.44
BTC,2018,6,29,6218.30
BTC,2018,6,30,6404.00
BTC,2018,7,1,6385.82
BTC,2018,7,2,6614.18
BTC,2018,7,3,6529.59
BTC,2018,7,4,6597.55
BTC,2018,7,5,6639.14
BTC,2018,7,6,6673.50
BTC,2018,7,7,6856.93
BTC,2018,7,8,6773.88
BTC,2018,7,9,6741.75
BTC,2018,7,10,6329.95
BTC,2018,7,11,6394.71
BTC,2018,7,12,6228.81
BTC,2018,7,13,6238.05
BTC,2018,7,14,6276.12
BTC,2018,7,15,6359.64
BTC,2018,7,16,6741.75
BTC,2018,7,17,7321.04
BTC,2018,7,18,7370.78
BTC,2018,7,19,7466.86
BTC,2018,7,20,7354.13
BTC,2018,7,21,7419.29
BTC,2018,7,22,7418.49
BTC,2018,7,23,7711.11
BTC,2018,7,24,8424.27
BTC,2018,7,25,8181.39
BTC,2018,7,26,7951.58
BTC,2018,7,27,8165.01
BTC,2018,7,28,8192.15
BTC,2018,7,29,8218.46
BTC,2018,7,30,8180.48
BTC,2018,7,31,7780.44
BTC,2018,8,1,7624.91
BTC,2018,8,2,7567.15
BTC,2018,8,3,7434.39
BTC,2018,8,4,7032.85
BTC,2018,8,5,7068.48
BTC,2018,8,6,6951.80
BTC,2018,8,7,6753.12
BTC,2018,8,8,6305.80
BTC,2018,8,9,6568.23
BTC,2018,8,10,6184.71
BTC,2018,8,11,6295.73
BTC,2018,8,12,6322.69
BTC,2018,8,13,6297.57
BTC,2018,8,14,6199.71
BTC,2018,8,15,6308.52
BTC,2018,8,16,6334.73
BTC,2018,8,17,6580.63
BTC,2018,8,18,6423.76
BTC,2018,8,19,6506.07
BTC,2018,8,20,6308.53
BTC,2018,8,21,6488.76
BTC,2018,8,22,6376.71
BTC,2018,8,23,6534.88
BTC,2018,8,24,6719.96
BTC,2018,8,25,6763.19
BTC,2018,8,26,6707.26
BTC,2018,8,27,6884.64
BTC,2018,8,28,7096.28
BTC,2018,8,29,7047.16
BTC,2018,8,30,6978.23
BTC,2018,8,31,7037.58
BTC,2018,9,1,7193.25
BTC,2018,9,2,7272.72
BTC,2018,9,3,7260.06
BTC,2018,9,4,7361.66
BTC,2018,9,5,6792.83
BTC,2018,9,6,6529.17
BTC,2018,9,7,6467.07
BTC,2018,9,8,6225.98
BTC,2018,9,9,6300.86
BTC,2018,9,10,6329.70
BTC,2018,9,11,6321.20
BTC,2018,9,12,6351.80
BTC,2018,9,13,6517.31
BTC,2018,9,14,6512.71
BTC,2018,9,15,6543.20
BTC,2018,9,16,6517.18
BTC,2018,9,17,6281.20
BTC,2018,9,18,6371.30
BTC,2018,9,19,6398.54
BTC,2018,9,20,6519.67
BTC,2018,9,21,6734.95
BTC,2018,9,22,6721.98
BTC,2018,9,23,6710.63
BTC,2018,9,24,6595.41
BTC,2018,9,25,6446.47
BTC,2018,9,26,6495.00
BTC,2018,9,27,6676.75
BTC,2018,9,28,6644.13
BTC,2018,9,29,6601.96
BTC,2018,9,30,6625.56
BTC,2018,10,1,6589.62
BTC,2018,10,2,6556.10
BTC,2018,10,3,6502.59
BTC,2018,10,4,6576.69
BTC,2018,10,5,6622.48
BTC,2018,10,6,6588.31
BTC,2018,10,7,6602.95
BTC,2018,10,8,6652.23
BTC,2018,10,9,6642.64
BTC,2018,10,10,6585.53
BTC,2018,10,11,6256.24
BTC,2018,10,12,6274.58
BTC,2018,10,13,6285.99
BTC,2018,10,14,6290.93
BTC,2018,10,15,6596.54
BTC,2018,10,16,6596.11
BTC,2018,10,17,6544.43
BTC,2018,10,18,6476.71
BTC,2018,10,19,6465.41
BTC,2018,10,20,6489.19
BTC,2018,10,21,6482.35
BTC,2018,10,22,6487.16
BTC,2018,10,23,6475.74
BTC,2018,10,24,6495.84
BTC,2018,10,25,6476.29
BTC,2018,10,26,6474.75
BTC,2018,10,27,6480.38
BTC,2018,10,28,6486.39
BTC,2018,10,29,6332.63
BTC,2018,10,30,6334.27
BTC,2018,10,31,6317.61
BTC,2018,11,1,6377.78
BTC,2018,11,2,6388.44
BTC,2018,11,3,6361.26
BTC,2018,11,4,6376.13
BTC,2018,11,5,6419.66
BTC,2018,11,6,6461.01
BTC,2018,11,7,6530.14
BTC,2018,11,8,6453.72
BTC,2018,11,9,6385.62
BTC,2018,11,10,6409.22
BTC,2018,11,11,6411.27
BTC,2018,11,12,6371.27
BTC,2018,11,13,6359.49
BTC,2018,11,14,5738.35
BTC,2018,11,15,5648.03
BTC,2018,11,16,5575.55
BTC,2018,11,17,5554.33
BTC,2018,11,18,5623.54
BTC,2018,11,19,4871.49
BTC,2018,11,20,4451.87
BTC,2018,11,21,4602.17
BTC,2018,11,22,4365.94
BTC,2018,11,23,4347.11
BTC,2018,11,24,3880.76
BTC,2018,11,25,4009.97
BTC,2018,11,26,3779.13
BTC,2018,11,27,3820.72
BTC,2018,11,28,4257.42
BTC,2018,11,29,4278.85
BTC,2018,11,30,4017.27
BTC,2018,12,1,4214.67
BTC,2018,12,2,4139.88
BTC,2018,12,3,3894.13
BTC,2018,12,4,3956.89
BTC,2018,12,5,3753.99
BTC,2018,12,6,3521.10
BTC,2018,12,7,3419.94
BTC,2018,12,8,3476.11
BTC,2018,12,9,3614.23
BTC,2018,12,10,3502.66
BTC,2018,12,11,3424.59
BTC,2018,12,12,3486.95
BTC,2018,12,13,3313.68
BTC,2018,12,14,3242.48
BTC,2018,12,15,3236.76
BTC,2018,12,16,3252.84
BTC,2018,12,17,3545.86
BTC,2018,12,18,3696.06
BTC,2018,12,19,3745.95
BTC,2018,12,20,4134.44
BTC,2018,12,21,3896.54
BTC,2018,12,22,4014.18
BTC,2018,12,23,3998.98
BTC,2018,12,24,4078.60
BTC,2018,12,25,3815.49
BTC,2018,12,26,3857.30
BTC,2018,12,27,3654.83
BTC,2018,12,28,3923.92
BTC,2018,12,29,3820.41
BTC,2018,12,30,3865.95
BTC,2018,12,31,3742.70
BTC,2019,1,1,3843.52
BTC,2019,1,2,3943.41
BTC,2019,1,3,3836.74
BTC,2019,1,4,3857.72
BTC,2019,1,5,3845.19
BTC,2019,1,6,4076.63
BTC,2019,1,7,4025.25
BTC,2019,1,8,4030.85
BTC,2019,1,9,4035.30
BTC,2019,1,10,3678.92
BTC,2019,1,11,3687.37
BTC,2019,1,12,3661.30
BTC,2019,1,13,3552.95
BTC,2019,1,14,3706.05
BTC,2019,1,15,3630.68
BTC,2019,1,16,3655.01
BTC,2019,1,17,3678.56
BTC,2019,1,18,3657.84
BTC,2019,1,19,3728.57
BTC,2019,1,20,3601.01
BTC,2019,1,21,3576.03
BTC,2019,1,22,3604.58
BTC,2019,1,23,3585.12
BTC,2019,1,24,3600.87
BTC,2019,1,25,3599.77
BTC,2019,1,26,3602.46
BTC,2019,1,27,3583.97
BTC,2019,1,28,3470.45
BTC,2019,1,29,3448.12
BTC,2019,1,30,3486.18
BTC,2019,1,31,3457.79
BTC,2019,2,1,3487.95
BTC,2019,2,2,3521.06
BTC,2019,2,3,3464.01
BTC,2019,2,4,3459.15
BTC,2019,2,5,3466.36
BTC,2019,2,6,3413.77
BTC,2019,2,7,3399.47
BTC,2019,2,8,3666.78
BTC,2019,2,9,3671.20
BTC,2019,2,10,3690.19
BTC,2019,2,11,3648.43
BTC,2019,2,12,3653.53
BTC,2019,2,13,3632.07
BTC,2019,2,14,3616.88
BTC,2019,2,15,3620.81
BTC,2019,2,16,3629.79
BTC,2019,2,17,3673.84
BTC,2019,2,18,3915.71
BTC,2019,2,19,3947.09
BTC,2019,2,20,3999.82
BTC,2019,2,21,3954.12
BTC,2019,2,22,4005.53
BTC,2019,2,23,4142.53
BTC,2019,2,24,3810.43
BTC,2019,2,25,3882.70
BTC,2019,2,26,3854.36
BTC,2019,2,27,3851.05
BTC,2019,2,28,3854.79
BTC,2019,3,1,3859.58
BTC,2019,3,2,3864.42
BTC,2019,3,3,3847.18
BTC,2019,3,4,3761.56
BTC,2019,3,5,3896.38
BTC,2019,3,6,3903.94
BTC,2019,3,7,3911.48
BTC,2019,3,8,3901.13
BTC,2019,3,9,3963.31
BTC,2019,3,10,3951.60
BTC,2019,3,11,3905.23
BTC,2019,3,12,3909.16
BTC,2019,3,13,3906.72
BTC,2019,3,14,3924.37
BTC,2019,3,15,3960.91
BTC,2019,3,16,4048.73
BTC,2019,3,17,4025.23
BTC,2019,3,18,4032.51
BTC,2019,3,19,4071.19
BTC,2019,3,20,4087.48
BTC,2019,3,21,4029.33
BTC,2019,3,22,4023.97
BTC,2019,3,23,4035.83
BTC,2019,3,24,4022.17
BTC,2019,3,25,3963.07
BTC,2019,3,26,3985.08
BTC,2019,3,27,4087.07
BTC,2019,3,28,4069.11
BTC,2019,3,29,4098.37
BTC,2019,3,30,4106.66
BTC,2019,3,31,4105.40
BTC,2019,4,1,4158.18
BTC,2019,4,2,4879.88
BTC,2019,4,3,4973.02
BTC,2019,4,4,4922.80
BTC,2019,4,5,5036.68
BTC,2019,4,6,5059.82
BTC,2019,4,7,5198.90
BTC,2019,4,8,5289.77
BTC,2019,4,9,5204.96
BTC,2019,4,10,5324.55
BTC,2019,4,11,5064.49
BTC,2019,4,12,5089.54
BTC,2019,4,13,5096.59
BTC,2019,4,14,5167.72
BTC,2019,4,15,5067.11
BTC,2019,4,16,5235.56
ETH,2018,5,4,785.62
ETH,2018,5,5,816.12
ETH,2018,5,6,792.31
ETH,2018,5,7,753.72
ETH,2018,5,8,752.86
ETH,2018,5,9,752.28
ETH,2018,5,10,727.28
ETH,2018,5,11,679.59
ETH,2018,5,12,686.05
ETH,2018,5,13,733.50
ETH,2018,5,14,730.55
ETH,2018,5,15,708.87
ETH,2018,5,16,707.05
ETH,2018,5,17,672.66
ETH,2018,5,18,694.37
ETH,2018,5,19,696.53
ETH,2018,5,20,715.37
ETH,2018,5,21,699.22
ETH,2018,5,22,647.74
ETH,2018,5,23,583.59
ETH,2018,5,24,601.76
ETH,2018,5,25,586.73
ETH,2018,5,26,587.28
ETH,2018,5,27,572.67
ETH,2018,5,28,516.04
ETH,2018,5,29,565.39
ETH,2018,5,30,559.59
ETH,2018,5,31,577.65
ETH,2018,6,1,580.04
ETH,2018,6,2,591.81
ETH,2018,6,3,618.33
ETH,2018,6,4,592.98
ETH,2018,6,5,609.30
ETH,2018,6,6,607.12
ETH,2018,6,7,605.19
ETH,2018,6,8,601.08
ETH,2018,6,9,597.56
ETH,2018,6,10,526.48
ETH,2018,6,11,533.28
ETH,2018,6,12,496.84
ETH,2018,6,13,477.49
ETH,2018,6,14,519.74
ETH,2018,6,15,491.00
ETH,2018,6,16,499.64
ETH,2018,6,17,500.45
ETH,2018,6,18,518.89
